X1	X2	X3	X4	X5	X6	X7	X8	X9
1	1	20	2568	5	26,2	7,1	25,68	Levante
2	2	20	2511	9	26,1	6,9	25,11	Levante
2	3	20	2329	8	26	7	23,29	Levante
1	4	20	2480	8	25,9	7,1	24,8	Levante
2	5	20	2383	7	25,6	6,9	23,83	Levante
1	6	20	2410	7	25,7	7	24,1	Levante
2	7	20	2509	6	26,1	6,8	25,09	Levante
2	8	20	2544	3	26,9	6,7	25,44	Levante
2	9	20	2371	7	25,8	6,9	23,71	Levante
2	10	20	2480	6	25,8	6,8	24,8	Levante
3	1	30	3155	3	25,8	6,9	45,08	Preengorde
2	2	30	3308	8	26,3	7,1	47,25	Preengorde
2	3	30	3277	6	26	6,9	46,82	Preengorde
2	4	30	3278	7	25,8	7	46,83	Preengorde
2	5	30	3269	3	26,3	7	46,69	Preengorde
3	6	30	3247	6	25,6	6,8	46,38	Preengorde
1	7	30	3305	3	26,2	7	47,22	Preengorde
2	8	30	3120	6	25,5	7	44,57	Preengorde
1	9	30	3391	7	24,8	7,3	48,44	Preengorde
1	10	30	3330	5	25,7	6,9	47,58	Preengorde
2	1	50	6190	4	26	7,1	88,43	Preengorde
3	2	50	6125	9	25,6	7	87,5	Preengorde
2	3	50	6134	4	26,2	6,8	87,63	Preengorde
2	4	27	6124	4	25,4	7	87,48	Preengorde
2	5	29	6123	4	26,1	6,8	87,48	Preengorde
2	6	50	6067	3	26,3	7	86,67	Preengorde
1	7	50	5923	4	25,3	7	84,61	Preengorde
1	8	50	6150	4	25,6	7	87,86	Preengorde
2	9	50	6093	9	26	7,1	87,05	Preengorde
3	10	50	6155	5	26,1	6,4	87,92	Preengorde
1	1	70	8966	5	26,5	7,1	128,08	Preengorde
2	2	70	9063	7	25,9	6,7	129,47	Preengorde
2	3	70	9036	6	25,3	6,9	129,08	Preengorde
2	4	70	9084	6	26,5	7,2	129,77	Preengorde
2	5	70	9038	5	26,1	6,7	129,11	Preengorde
2	6	70	9026	7	26,1	7,1	128,94	Preengorde
2	7	70	8988	4	25,4	7,1	128,41	Preengorde
1	8	70	9090	8	25,7	7	129,86	Preengorde
2	9	70	9076	7	26,6	7,1	129,65	Preengorde
1	10	70	9123	3	26	7,1	130,33	Preengorde
2	1	90	8587	7	25,5	7,1	171,74	Engorde
1	2	90	8518	3	26	7,1	170,37	Engorde
2	3	90	8621	4	25,6	7	172,42	Engorde
2	4	90	8595	8	26,1	6,8	171,9	Engorde
2	5	90	8627	6	26,6	6,8	172,55	Engorde
2	6	90	8563	7	25	7,2	171,26	Engorde
2	7	90	8681	5	25,8	7,1	173,62	Engorde
2	8	90	8618	4	25,1	7	172,37	Engorde
3	9	90	8643	7	26,7	6,7	172,87	Engorde
2	10	90	8608	8	24,8	7,1	172,17	Engorde
1	1	110	10770	6	26,3	6,8	215,4	Engorde
2	2	110	10849	7	26	7,1	216,99	Engorde
2	3	110	10688	6	26,4	7	213,75	Engorde
3	4	110	10775	7	25,9	7	215,5	Engorde
2	5	110	10895	8	26,2	7,1	217,91	Engorde
2	6	110	10765	8	25,6	7	215,3	Engorde
1	7	110	10810	6	25,7	6,7	216,2	Engorde
2	8	110	10736	6	25,8	7	214,72	Engorde
1	9	110	10771	4	25,7	6,8	215,42	Engorde
2	10	110	10818	6	25,6	7	216,36	Engorde
2	1	130	12918	7	26,1	6,7	258,36	Engorde
2	2	130	13005	9	25,4	6,7	260,09	Engorde
1	3	130	12889	7	25,5	7	257,78	Engorde
1	4	130	12966	8	26,2	7,3	259,33	Engorde
1	5	130	13005	6	26,4	6,8	260,1	Engorde
0	6	130	12969	3	25,8	6,9	259,38	Engorde
2	7	130	13086	7	25,5	6,8	261,72	Engorde
3	8	130	12922	8	25,9	7,2	258,44	Engorde
3	9	130	12924	4	25,5	6,8	258,47	Engorde
